Arist(s) Name,Track Name,Album Name,SpotifyID,Release Date,url,type,top,center,bottom
Taylor Swift , Innocent (TV) , Speak Now (TV) , 12nBPF4Rh4XLFJV0YLN7uj , 2023-07-07,spotify:track:12nBPF4Rh4XLFJV0YLN7uj,Speak Now (TV),Innocent (TV),07/07/2023,Speak Now (TV)
Taylor Swift , Haunted (TV) , Speak Now (TV) , 4tMzIAFTFdqGBQLdfbPces , 2023-07-07,spotify:track:4tMzIAFTFdqGBQLdfbPces,Speak Now (TV),Haunted (TV),07/07/2023,Speak Now (TV)
Taylor Swift , Last Kiss (TV) , Speak Now (TV) , 59KOoHFcw5XfICnO57holu , 2023-07-07,spotify:track:59KOoHFcw5XfICnO57holu,Speak Now (TV),Last Kiss (TV),07/07/2023,Speak Now (TV)
Taylor Swift , Long Live (TV) , Speak Now (TV) , 4hqJ4bSlYJOXb6Z4SRmzxs , 2023-07-07,spotify:track:4hqJ4bSlYJOXb6Z4SRmzxs,Speak Now (TV),Long Live (TV),07/07/2023,Speak Now (TV)
Taylor Swift , Ours (TV) , Speak Now (TV) , 3yNJkriPzWjkkDAWHIAVUq , 2023-07-07,spotify:track:3yNJkriPzWjkkDAWHIAVUq,Speak Now (TV),Ours (TV),07/07/2023,Speak Now (TV)
Taylor Swift , Superman (TV) , Speak Now (TV) , 4evLyY5Ue1Wesc61t2KXAU , 2023-07-07,spotify:track:4evLyY5Ue1Wesc61t2KXAU,Speak Now (TV),Superman (TV),07/07/2023,Speak Now (TV)
Taylor Swift; Fall Out Boy , Electric Touch (feat. Fall Out Boy) (TV) (From The Vault) , Speak Now (TV) , 4e3ZNTAV6PCrdYMUrUlMpQ , 2023-07-07,spotify:track:4e3ZNTAV6PCrdYMUrUlMpQ,Speak Now (TV),Electric Touch (feat. Fall Out Boy) (TV) (From The Vault),07/07/2023,Speak Now (TV)
Taylor Swift , When Emma Falls in Love (TV) (From The Vault) , Speak Now (TV) , 0zo975x58DlXbZllWvfYhg , 2023-07-07,spotify:track:0zo975x58DlXbZllWvfYhg,Speak Now (TV),When Emma Falls in Love (TV) (From The Vault),07/07/2023,Speak Now (TV)
Taylor Swift , I Can See You (TV) (From The Vault) , Speak Now (TV) , 5kHMfzgLZP95O9NBy0ku4v , 2023-07-07,spotify:track:5kHMfzgLZP95O9NBy0ku4v,Speak Now (TV),I Can See You (TV) (From The Vault),07/07/2023,Speak Now (TV)
Taylor Swift; Hayley Williams , Castles Crumbling (feat. Hayley Williams) (TV) (From The Vault) , Speak Now (TV) , 4ABYxlb92WBIjHu7TIKmml , 2023-07-07,spotify:track:4ABYxlb92WBIjHu7TIKmml,Speak Now (TV),Castles Crumbling (feat. Hayley Williams) (TV) (From The Vault),07/07/2023,Speak Now (TV)
Taylor Swift , Foolish One (TV) (From The Vault) , Speak Now (TV) , 4s8BIKx4Zh6ryAEz8RTlaU , 2023-07-07,spotify:track:4s8BIKx4Zh6ryAEz8RTlaU,Speak Now (TV),Foolish One (TV) (From The Vault),07/07/2023,Speak Now (TV)
Taylor Swift , Timeless (TV) (From The Vault) , Speak Now (TV) , 1HCdems7PQZRj42QDWLA0A , 2023-07-07,spotify:track:1HCdems7PQZRj42QDWLA0A,Speak Now (TV),Timeless (TV) (From The Vault),07/07/2023,Speak Now (TV)
Taylor Swift , Cruel Summer - Live from TS | The Eras Tour , The Cruelest Summer , 6ClYMObS7f3Nn4AiZHYQt3 , 2023-10-19,spotify:track:6ClYMObS7f3Nn4AiZHYQt3,MISC,Cruel Summer - Live from TS | The Eras Tour,19/10/2023,The Cruelest Summer
Taylor Swift , Welcome To New York (TV) , 1989 (TV) , 1hR8BSuEqPCCZfv93zzzz9 , 2023-10-26,spotify:track:1hR8BSuEqPCCZfv93zzzz9,1989 (TV),Welcome To New York (TV),26/10/2023,1989 (TV)
Taylor Swift , Blank Space (TV) , 1989 (TV) , 45wMBGri1PORPjM9PwFfrS , 2023-10-26,spotify:track:45wMBGri1PORPjM9PwFfrS,1989 (TV),Blank Space (TV),26/10/2023,1989 (TV)
Taylor Swift , Style (TV) , 1989 (TV) , 1hjRhYpWyqDpPahmSlUTlc , 2023-10-26,spotify:track:1hjRhYpWyqDpPahmSlUTlc,1989 (TV),Style (TV),26/10/2023,1989 (TV)
Taylor Swift , Out Of The Woods (TV) , 1989 (TV) , 045ZeOHPIzhxxsm8bq5kyE , 2023-10-26,spotify:track:045ZeOHPIzhxxsm8bq5kyE,1989 (TV),Out Of The Woods (TV),26/10/2023,1989 (TV)
Taylor Swift , All You Had To Do Was Stay (TV) , 1989 (TV) , 6GXgd1BPD9bUpqw5AntGV5 , 2023-10-26,spotify:track:6GXgd1BPD9bUpqw5AntGV5,1989 (TV),All You Had To Do Was Stay (TV),26/10/2023,1989 (TV)
Taylor Swift , Shake It Off (TV) , 1989 (TV) , 3pv7Q5v2dpdefwdWIvE7yH , 2023-10-26,spotify:track:3pv7Q5v2dpdefwdWIvE7yH,1989 (TV),Shake It Off (TV),26/10/2023,1989 (TV)
Taylor Swift , I Wish You Would (TV) , 1989 (TV) , 43y1WpBdnEy5TR9aZoSQL9 , 2023-10-26,spotify:track:43y1WpBdnEy5TR9aZoSQL9,1989 (TV),I Wish You Would (TV),26/10/2023,1989 (TV)
Taylor Swift , Bad Blood (TV) , 1989 (TV) , 64FzgoLZ3oXu2SriZblHic , 2023-10-26,spotify:track:64FzgoLZ3oXu2SriZblHic,1989 (TV),Bad Blood (TV),26/10/2023,1989 (TV)
Taylor Swift , Wildest Dreams (TV) , 1989 (TV) , 1K39ty6o1sHwwlZwO6a7wK , 2023-10-26,spotify:track:1K39ty6o1sHwwlZwO6a7wK,1989 (TV),Wildest Dreams (TV),26/10/2023,1989 (TV)
Taylor Swift , How You Get The Girl (TV) , 1989 (TV) , 75W3SngKzTuoQ94uLf3y82 , 2023-10-26,spotify:track:75W3SngKzTuoQ94uLf3y82,1989 (TV),How You Get The Girl (TV),26/10/2023,1989 (TV)
Taylor Swift , This Love (TV) , 1989 (TV) , 5QVVjX0ZItqlVpEuVCM9Yg , 2023-10-26,spotify:track:5QVVjX0ZItqlVpEuVCM9Yg,1989 (TV),This Love (TV),26/10/2023,1989 (TV)
Taylor Swift , I Know Places (TV) , 1989 (TV) , 2f0GI2ZLUtbGqFx8t2Gk6A , 2023-10-26,spotify:track:2f0GI2ZLUtbGqFx8t2Gk6A,1989 (TV),I Know Places (TV),26/10/2023,1989 (TV)
Taylor Swift , Clean (TV) , 1989 (TV) , 2ByBBvpR9b7IynvRmnG7kG , 2023-10-26,spotify:track:2ByBBvpR9b7IynvRmnG7kG,1989 (TV),Clean (TV),26/10/2023,1989 (TV)
Taylor Swift , Wonderland (TV) , 1989 (TV) , 2ve0kuaWUCt4Zx8x4bf1MR , 2023-10-26,spotify:track:2ve0kuaWUCt4Zx8x4bf1MR,1989 (TV),Wonderland (TV),26/10/2023,1989 (TV)
Taylor Swift , You Are In Love (TV) , 1989 (TV) , 4UwqOWDpdeIDVQDuKT6iza , 2023-10-26,spotify:track:4UwqOWDpdeIDVQDuKT6iza,1989 (TV),You Are In Love (TV),26/10/2023,1989 (TV)
Taylor Swift , New Romantics (TV) , 1989 (TV) , 2vPMoMDXxu9uX1igWZmXSG , 2023-10-26,spotify:track:2vPMoMDXxu9uX1igWZmXSG,1989 (TV),New Romantics (TV),26/10/2023,1989 (TV)
Taylor Swift ," ""Slut!"" (TV) (From The Vault) ", 1989 (TV) , 71BqAINEnezjQfxE4VuJfq , 2023-10-26,spotify:track:71BqAINEnezjQfxE4VuJfq,1989 (TV),"""Slut!"" (TV) (From The Vault)",26/10/2023,1989 (TV)
Taylor Swift , Say Don't Go (TV) (From The Vault) , 1989 (TV) , 4NioO5R9sHEZh4cGzMHyNt , 2023-10-26,spotify:track:4NioO5R9sHEZh4cGzMHyNt,1989 (TV),Say Don't Go (TV) (From The Vault),26/10/2023,1989 (TV)
Taylor Swift , Now That We Don't Talk (TV) (From The Vault) , 1989 (TV) , 5KD6AEm19QnMbfWpfoOHMl , 2023-10-26,spotify:track:5KD6AEm19QnMbfWpfoOHMl,1989 (TV),Now That We Don't Talk (TV) (From The Vault),26/10/2023,1989 (TV)
Taylor Swift , Suburban Legends (TV) (From The Vault) , 1989 (TV) , 6T0sEnqjmHISIKwFETeeiP , 2023-10-26,spotify:track:6T0sEnqjmHISIKwFETeeiP,1989 (TV),Suburban Legends (TV) (From The Vault),26/10/2023,1989 (TV)
Taylor Swift , Is It Over Now? (TV) (From The Vault) , 1989 (TV) , 1Iq8oo9XkmmvCQiGOfORiz , 2023-10-26,spotify:track:1Iq8oo9XkmmvCQiGOfORiz,1989 (TV),Is It Over Now? (TV) (From The Vault),26/10/2023,1989 (TV)
Taylor Swift; Kendrick Lamar , Bad Blood (feat. Kendrick Lamar) (TV) , 1989 (TV) [Deluxe] , 6qAcApH8obo8eqatCKUHd9 , 2023-10-27,spotify:track:6qAcApH8obo8eqatCKUHd9,1989 (TV),Bad Blood (feat. Kendrick Lamar) (TV),27/10/2023,1989 (TV) [Deluxe]
Taylor Swift , You're Losing Me (From The Vault) , You're Losing Me (From The Vault) , 3CWq0pAKKTWb0K4yiglDc4 , 2023-11-29,spotify:track:3CWq0pAKKTWb0K4yiglDc4,MISC,You're Losing Me (From The Vault),29/11/2023,You're Losing Me (From The Vault)
Taylor Swift; Post Malone , Fortnight (feat. Post Malone) , THE TORTURED POETS DEPARTMENT , 2OzhQlSqBEmt7hmkYxfT6m , 2024-04-18,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,THE TORTURED POETS DEPARTMENT,Fortnight (feat. Post Malone),18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , The Tortured Poets Department , THE TORTURED POETS DEPARTMENT , 3NMrVbIVWT3fPXBj0rNDKG , 2024-04-18,spotify:track:3NMrVbIVWT3fPXBj0rNDKG,THE TORTURED POETS DEPARTMENT,The Tortured Poets Department,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , My Boy Only Breaks His Favorite Toys , THE TORTURED POETS DEPARTMENT , 2XXwLdtuAcE0HSCu61ijAb , 2024-04-18,spotify:track:2XXwLdtuAcE0HSCu61ijAb,THE TORTURED POETS DEPARTMENT,My Boy Only Breaks His Favorite Toys,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , Down Bad , THE TORTURED POETS DEPARTMENT , 2F3N9tdombb64aW6VtZOdo , 2024-04-18,spotify:track:2F3N9tdombb64aW6VtZOdo,THE TORTURED POETS DEPARTMENT,Down Bad,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , But Daddy I Love Him , THE TORTURED POETS DEPARTMENT , 5og4Qzt92jJzVDkOtSEilb , 2024-04-18,spotify:track:5og4Qzt92jJzVDkOtSEilb,THE TORTURED POETS DEPARTMENT,But Daddy I Love Him,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , Fresh Out The Slammer , THE TORTURED POETS DEPARTMENT , 3fO566xJgwxIa3qGCGBvIC , 2024-04-18,spotify:track:3fO566xJgwxIa3qGCGBvIC,THE TORTURED POETS DEPARTMENT,Fresh Out The Slammer,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift; Florence + The Machine , Florida!!! (feat. Florence + The Machine) , THE TORTURED POETS DEPARTMENT , 3ZVFcD8Wlw9T9klGqmJf9F , 2024-04-18,spotify:track:3ZVFcD8Wlw9T9klGqmJf9F,THE TORTURED POETS DEPARTMENT,Florida!!! (feat. Florence + The Machine),18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , Guilty as Sin? , THE TORTURED POETS DEPARTMENT , 0W0iAC1VGlB82PI6elxFYf , 2024-04-18,spotify:track:0W0iAC1VGlB82PI6elxFYf,THE TORTURED POETS DEPARTMENT,Guilty as Sin?,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , Who's Afraid of Little Old Me? , THE TORTURED POETS DEPARTMENT , 36t6frENUtCYKuZus6aYDO , 2024-04-18,spotify:track:36t6frENUtCYKuZus6aYDO,THE TORTURED POETS DEPARTMENT,Who's Afraid of Little Old Me?,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , I Can Fix Him (No Really I Can) , THE TORTURED POETS DEPARTMENT , 2h3MDMf8sd9s4XIzpTBIjX , 2024-04-18,spotify:track:2h3MDMf8sd9s4XIzpTBIjX,THE TORTURED POETS DEPARTMENT,I Can Fix Him (No Really I Can),18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , loml , THE TORTURED POETS DEPARTMENT , 6RSG1dKPV5gEvILwJb4QtS , 2024-04-18,spotify:track:6RSG1dKPV5gEvILwJb4QtS,THE TORTURED POETS DEPARTMENT,loml,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , I Can Do It With a Broken Heart , THE TORTURED POETS DEPARTMENT , 4q5YezDOIPcoLr8R81x9qy , 2024-04-18,spotify:track:4q5YezDOIPcoLr8R81x9qy,THE TORTURED POETS DEPARTMENT,I Can Do It With a Broken Heart,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , The Smallest Man Who Ever Lived , THE TORTURED POETS DEPARTMENT , 2v1ivOOsgn64g5OywuH55L , 2024-04-18,spotify:track:2v1ivOOsgn64g5OywuH55L,THE TORTURED POETS DEPARTMENT,The Smallest Man Who Ever Lived,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , The Alchemy , THE TORTURED POETS DEPARTMENT , 1dhMTsEZz6ZEquGvmzVoHn , 2024-04-18,spotify:track:1dhMTsEZz6ZEquGvmzVoHn,THE TORTURED POETS DEPARTMENT,The Alchemy,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , Clara Bow , THE TORTURED POETS DEPARTMENT , 1UlhrRvYzbHEyugEDspXUB , 2024-04-18,spotify:track:1UlhrRvYzbHEyugEDspXUB,THE TORTURED POETS DEPARTMENT,Clara Bow,18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift ," So Long, London", THE TORTURED POETS DEPARTMENT , 3Vevii7qKqrmW8CcyzBHDl , 2024-04-18,spotify:track:3Vevii7qKqrmW8CcyzBHDl,THE TORTURED POETS DEPARTMENT,"So Long, London",18/04/2024,THE TORTURED POETS DEPARTMENT
Taylor Swift , The Black Dog , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 62E2nR0od0M5HYxuYLaDz7 , 2024-04-19,spotify:track:62E2nR0od0M5HYxuYLaDz7,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Black Dog,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , imgonnagetyouback , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 1kcwpPDQnqEqmezzXdJTCP , 2024-04-19,spotify:track:1kcwpPDQnqEqmezzXdJTCP,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,imgonnagetyouback,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , The Albatross , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 4EF6IyONolQy0bIQXm2EmX , 2024-04-19,spotify:track:4EF6IyONolQy0bIQXm2EmX,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Albatross,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , Chloe or Sam or Sophia or Marcus , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 1rmEsOezwf2lmIZTMAO5Ag , 2024-04-19,spotify:track:1rmEsOezwf2lmIZTMAO5Ag,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Chloe or Sam or Sophia or Marcus,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , How Did It End? , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 5Bedn0svl0ZD7RGmJkmKKw , 2024-04-19,spotify:track:5Bedn0svl0ZD7RGmJkmKKw,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,How Did It End?,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , So High School , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 7Mts0OfPorF4iwOomvfqn1 , 2024-04-19,spotify:track:7Mts0OfPorF4iwOomvfqn1,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,So High School,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , I Hate It Here , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 3hlGuz3loYoLfI3bpwieWq , 2024-04-19,spotify:track:3hlGuz3loYoLfI3bpwieWq,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,I Hate It Here,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , thanK you aIMee , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 7ogK4lJDVDMU6A6vYR5rvD , 2024-04-19,spotify:track:7ogK4lJDVDMU6A6vYR5rvD,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,thanK you aIMee,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , I Look in People's Windows , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 1Zai5UJ2di3qEuR2HeT2s8 , 2024-04-19,spotify:track:1Zai5UJ2di3qEuR2HeT2s8,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,I Look in People's Windows,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , The Prophecy , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 18WFFUIsewmA8g31KAeo3e , 2024-04-19,spotify:track:18WFFUIsewmA8g31KAeo3e,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Prophecy,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , Cassandra , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 0g4fMVo4JjwnIpTfFfLdxS , 2024-04-19,spotify:track:0g4fMVo4JjwnIpTfFfLdxS,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Cassandra,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , Peter , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 3zMDGj4D8ogaYgAIZPeU7S , 2024-04-19,spotify:track:3zMDGj4D8ogaYgAIZPeU7S,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Peter,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , The Bolter , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 2913xXOVAIDAqxzV2g4VcU , 2024-04-19,spotify:track:2913xXOVAIDAqxzV2g4VcU,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Bolter,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , Robin , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 2CnjDMdpRjlWv04Xk3s6MW , 2024-04-19,spotify:track:2CnjDMdpRjlWv04Xk3s6MW,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Robin,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Taylor Swift , The Manuscript , THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY , 1DTRUYVd8rYpla9hhVVwjo , 2024-04-19,spotify:track:1DTRUYVd8rYpla9hhVVwjo,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,The Manuscript,19/04/2024,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY
Gracie Abrams; Taylor Swift , us. (Gracie Abrams feat. Taylor Swift) , The Secret of Us , 0hhzNPE68LWLfgZwdpxVdR , 2024-06-21,spotify:track:0hhzNPE68LWLfgZwdpxVdR,MISC,us. (Gracie Abrams feat. Taylor Swift),21/06/2024,The Secret of Us
Taylor Swift , The Fate of Ophelia , The Life of a Showgirl , 53iuhJlwXhSER5J2IYYv1W , 2025-10-03,spotify:track:53iuhJlwXhSER5J2IYYv1W,The Life of a Showgirl,The Fate of Ophelia,03/10/2025,The Life of a Showgirl
Taylor Swift , Elizabeth Taylor , The Life of a Showgirl , 1jgTiNob5cVyXeJ3WgX5bL , 2025-10-03,spotify:track:1jgTiNob5cVyXeJ3WgX5bL,The Life of a Showgirl,Elizabeth Taylor,03/10/2025,The Life of a Showgirl
Taylor Swift , Opalite , The Life of a Showgirl , 3yWuTOYDztXjZxdE2cIRUa , 2025-10-03,spotify:track:3yWuTOYDztXjZxdE2cIRUa,The Life of a Showgirl,Opalite,03/10/2025,The Life of a Showgirl
Taylor Swift , Father Figure , The Life of a Showgirl , 03bTIHJElXZ0O0jqOQvAbY , 2025-10-03,spotify:track:03bTIHJElXZ0O0jqOQvAbY,The Life of a Showgirl,Father Figure,03/10/2025,The Life of a Showgirl
Taylor Swift , Eldest Daughter , The Life of a Showgirl , 62HoDY1Km6lm47haFpUn9c , 2025-10-03,spotify:track:62HoDY1Km6lm47haFpUn9c,The Life of a Showgirl,Eldest Daughter,03/10/2025,The Life of a Showgirl
Taylor Swift , Ruin The Friendship , The Life of a Showgirl , 62V2ZHslgQV98gH4AuVXnr , 2025-10-03,spotify:track:62V2ZHslgQV98gH4AuVXnr,The Life of a Showgirl,Ruin The Friendship,03/10/2025,The Life of a Showgirl
Taylor Swift , Actually Romantic , The Life of a Showgirl , 2x3mwb96B6TquRqMtbxUE1 , 2025-10-03,spotify:track:2x3mwb96B6TquRqMtbxUE1,The Life of a Showgirl,Actually Romantic,03/10/2025,The Life of a Showgirl
Taylor Swift , Wi$h Li$t , The Life of a Showgirl , 2TEQvxxQabwLQMqWMg1qGu , 2025-10-03,spotify:track:2TEQvxxQabwLQMqWMg1qGu,The Life of a Showgirl,Wi$h Li$t,03/10/2025,The Life of a Showgirl
Taylor Swift , Wood , The Life of a Showgirl , 5ylJtmaWPJ33cW3En7WOu0 , 2025-10-03,spotify:track:5ylJtmaWPJ33cW3En7WOu0,The Life of a Showgirl,Wood,03/10/2025,The Life of a Showgirl
Taylor Swift , CANCELLED! , The Life of a Showgirl , 1appZ3c336FkPvCuywfmrs , 2025-10-03,spotify:track:1appZ3c336FkPvCuywfmrs,The Life of a Showgirl,CANCELLED!,03/10/2025,The Life of a Showgirl
Taylor Swift , Honey , The Life of a Showgirl , 4qmFC3Jz5aQ0erlk2OSi2X , 2025-10-03,spotify:track:4qmFC3Jz5aQ0erlk2OSi2X,The Life of a Showgirl,Honey,03/10/2025,The Life of a Showgirl
Taylor Swift; Sabrina Carpenter , The Life of a Showgirl (feat. Sabrina Carpenter) , The Life of a Showgirl , 5eXgqtg3T8Av0m1FUaGHex , 2025-10-03,spotify:track:5eXgqtg3T8Av0m1FUaGHex,The Life of a Showgirl,The Life of a Showgirl (feat. Sabrina Carpenter),03/10/2025,The Life of a Showgirl
